gene,logFC,logCPM,F,PValue,FDR,direction,treat1,treat2
gene9036|CISH,1.671498651474621,2.2447433434097857,42.61476819449823,3.3109735606074236e-7,0.005128366948024838,Upregulated,AA,AG
gene8379|SOCS2,1.3131149083796854,2.9962448361243914,33.96520704332857,2.306296261659652e-6,0.017861111398423175,Upregulated,AA,AG
gene1737|MEST,1.3499732603863976,3.134624836631122,31.81291990625796,3.90157715182524e-6,0.020143842834873717,Upregulated,AA,AG
gene22044|EGFL6,1.6063729929469421,4.8428045742196435,30.050470063224484,6.193371318156608e-6,0.023982282086731924,Upregulated,AA,AG
